Timestamp,What is your profession? ,Please indicate your gender,BEFORE the Covid-19 pandemic (before March 1st 2020)?,"DURING the Covid-19 pandemic (during March 1st to August 31st, 2020)?",BEFORE the Covid-19 pandemic (before March 1st 2020)?,"DURING the Covid-19 pandemic (during March 1st to August 31st, 2020)?",How many people in Kerala do you financially support with your income?,How important is it for you to send money back to Kerala?, I send money to Kerala:,When the exchange rate is high (1 AED yields more INR):, I send money home:,"BEFORE the Covid-19 pandemic (before March 1st, 2020)?","DURING the Covid-19 pandemic (from March 1st to August 31st, 2020)?","BEFORE the Covid-19 pandemic (before March 1st, 2020)?","DURING the Covid-19 pandemic(from March 1st to August 31st, 2020)?","CEREALS & PULSES (Cereals and Pulses are items like Rice, Wheat, Bread, Maida, Rava, Dal varieties, et cetera) ","ANIMAL PROTEIN (Animal Protein is items like Chicken, Duck, Mutton, Beef, Fish, Eggs, etc) ","DAIRY PRODUCTS (Dairy Products are items like Milk, Yoghurt, Laban, Cheese, Labneh, Paneer, etc) ",Fruits and Vegetables,"PREPARED MEALS (Prepared Meals are items like Cup noodles, Heat & eat items like packaged curries, Maggi, Frozen chapati/paratha, Khubhus, Readymade idli/ appam batter, Restaurant take away/dine in, etc)  ","SWEETS AND SNACKS (Sweets and Snacks are items like Bakery items, Ice-cream, Chocolates, etc) ","PERSONAL CARE AND EFFECTS (Personal Care and Effects are items like Clothing, Footwear, Ornaments, Soap, Visiting Barber/beautician, etc) ","HOUSING RELATED EXPENDITURES (Housing Related expenditures are expenses like Housing Rent, Electricity Bill, Water Bill, etc)","HEALTHCARE (Healthcare includes expenses like Medicine fees, Doctor’s fees, Purchasing of medical equipment, Homeo medicines, etc)","TRANSPORTATION EXPENSES (Transportation expenses include expenses like Bus fare, Taxi fare, Petrol/Diesel costs, airplane fare, etc)","COMMUNICATION EXPENSES (Communication Expenses include expenses like Phone bills, Postage expenses, Internet expenses, etc)","RECREATION AND AMUSEMENT (Recreation and Amusement includes expenses like Cable connection fees, Newspapers, Playing Cards, carrom boards, etc)","HOUSEHOLD GOODS AND SERVICES (Household Goods and Services include items like Furniture, Bedding, Appliances like TV, Fridge, Washing machine, Stove, et cetera)"
7/23/2021 16:00:19,Engineer,Male,"20,001-25,000 AED","20,001-25,000 AED","Housing, Transportation (Bus pass, fuel, etc)","Housing, Transportation (Bus pass, fuel, etc)",2,Important (Family has some income but depends on my remittance to pull through),Both,The amount I send to my family in Kerala does not change,Once a month,10,10,15,15,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),No change,No change,Highly decreased (by more than 50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -500 AED)
7/23/2021 17:23:50,Teacher,Female,"5,001-10,000 AED","5,001-10,000 AED","Healthcare, Transportation (Bus pass, fuel, etc)",Healthcare,Two ,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",I send less money to my family in Kerala,When requested by family in Kerala,30- 40 ,30- 40,30,25- 30 ,Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,No change,Highly increased (by more than 500 AED),Slightly Increased (by 1 -100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),No change
7/23/2021 18:35:11,Civil Engineer ,Female,"5,001-10,000 AED","0-2,500 AED",None,None,2,Important (Family has some income but depends on my remittance to pull through),Both,The amount I send to my family in Kerala does not change,In small amounts frequently,50,Nothing,50,Nothing,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,No change,Highly decreased (by more than 50 AED),Slightly Increased (by 1 -50 AED),No change,No change
7/23/2021 18:39:59,Administrative staff ,Female,"15,001-20,000 AED","15,001-20,000 AED",None,None,None,Very Unimportant (Family is capable to live without my remittances),Both,I send more money to my family in Kerala,In bulk amounts infrequently,50%,70%,50,70,Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,No change,No change,Highly increased (by more than 50 AED),No change,No change
7/23/2021 18:42:50,Food and beverage professional,Male,"15,001-20,000 AED","10,001-15,000 AED",None,None,None,Very Unimportant (Family is capable to live without my remittances),Both,I send more money to my family in Kerala,In bulk amounts infrequently,50,20,50,40,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,No change,No change,Highly increased (by more than 50 AED),Highly decreased (by more than 50 AED),No change
7/23/2021 19:53:18,Teacher,Female,"5,001-10,000 AED","2,500-5,000 AED","Transportation (Bus pass, fuel, etc)","Transportation (Bus pass, fuel, etc)",3,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to my family in Kerala,In small amounts frequently,2000,2500,20,2,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED),Slightly decreased (by 1 -100 AED),No change,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -500 AED)
7/23/2021 21:33:18,Computer Engineer,Male,"15,001-20,000 AED","15,001-20,000 AED","Healthcare, Transportation (Bus pass, fuel, etc)","Healthcare, Transportation (Bus pass, fuel, etc)",Three.,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to my family in Kerala,When requested by family in Kerala,20%,25%,20%,25%,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,Highly decreased (by more than 100 AED),Highly decreased (by more than 50 AED),No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
7/23/2021 23:38:12,Manager,Male,"20,001-25,000 AED","20,001-25,000 AED","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc), Laundry","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc), Laundry",3,Important (Family has some income but depends on my remittance to pull through),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to my family in Kerala does not change,Once a month,50,60,40,45,Highly increased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 500 AED),No change,Highly decreased (by more than 50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
7/23/2021 23:39:15,Artist,Male,,,,,2,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to my family in Kerala,When requested by family in Kerala,10%,0%,30%,0,,,,,,,,,,,,,
7/23/2021 23:39:15,Accountant,Female,,,,,4,Unimportant (Family can support basic necessities even without my remittance),Both,I send more money to my family in Kerala,When requested by family in Kerala,10 percent,20-30%,20%,30-40%,,,,,,,,,,,,,
7/24/2021 0:45:53,Academic Registar,Female,"15,001-20,000 AED","15,001-20,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), My children’s tuition","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), My children’s tuition",4,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to my family in Kerala,Once a month,25-35%,40-50%,20-30%,20-30%,Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Slightly decreased (by 1 -100 AED),Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED)
7/24/2021 12:31:52,MIS,Male,"10,001-15,000 AED","10,001-15,000 AED",Healthcare,Healthcare,6,Very Important (Family is totally dependent on my remittances),Both,The amount I send to my family in Kerala does not change,Once a month,30,30,30,30,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED),Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -500 AED)
7/24/2021 16:11:29,Admin Manager,Female,"5,001-10,000 AED","5,001-10,000 AED","Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",0,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to my family in Kerala does not change,In bulk amounts infrequently,30,30,25,25,No change,No change,No change,Highly increased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,Slightly Increased (by 1 -100 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change
7/24/2021 18:31:03,Logistic assistant,Male,"2,500-5,000 AED","2,500-5,000 AED",Healthcare,Healthcare,My family (4 people),Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,Nothing,Nothing,60000,60000,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,No change,No change,No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
7/25/2021 19:48:39,Freelancer events,Female,"15,001-20,000 AED","10,001-15,000 AED","Housing, Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Food, Housing, Utilities (any one or more of electricity, water ), Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",0 in Kerala but 3 in Abu Dhabi ,Important (Family has some income but depends on my remittance to pull through),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,Once a month,10% to 20%,0,0,0,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change
7/25/2021 20:52:03,Engineer,Male,"5,001-10,000 AED","2,500-5,000 AED","Food, Housing, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Food, Housing, Transportation (Bus pass, fuel, etc)",Two,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send less money to Kerala,Once a month,40,30,80,50,Slightly Increased (by 1 -50 AED),No change,No change,Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),No change,Slightly Increased (by 1 -100 AED),Slightly decreased (by 1 -50 AED),No change,No change,No change
7/27/2021 13:44:57,Director of Materials ,Male,"10,001-15,000 AED","10,001-15,000 AED","Housing, Healthcare","Housing, Healthcare",2,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,In bulk amounts infrequently,50,60,50,60,Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),No change,Slightly Increased (by 1 -50 AED),Highly decreased (by more than 500 AED),No change,No change,No change,No change,No change
7/28/2021 22:15:41,Maintaince and real estate ,Male,"5,001-10,000 AED","5,001-10,000 AED",None,None,10,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to my family in Kerala,Once a month,10,0,10,30,Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED),No change,Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -500 AED)
7/30/2021 13:47:06,Procurement Officer ,Male,"20,001-25,000 AED","20,001-25,000 AED","Housing, Healthcare","Housing, Healthcare",Four,Very Important (Family is totally dependent on my remittances),Both,I send less money to Kerala,Once a month,5,5,10,10,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,No change
7/31/2021 6:11:37,Sales,Male,"15,001-20,000 AED","15,001-20,000 AED","Housing, Healthcare, Transportation (Bus pass, fuel, etc)","Housing, Healthcare, Transportation (Bus pass, fuel, etc)",Nil,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to Kerala,In small amounts frequently,30,25,Thirty,Twenty five,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),No change,Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),No change,Highly increased (by more than 50 AED),Highly increased (by more than 500 AED)
7/31/2021 6:26:49,Business Development Manager ,Male,"20,001-25,000 AED","20,001-25,000 AED",None,None,1,Important (Family has some income but depends on my remittance to pull through),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to Kerala,Once a month,40,40,10,10,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
7/31/2021 8:32:31,Sales,Male,"5,001-10,000 AED","5,001-10,000 AED","Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",5,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,40,20,40,20,No change,Slightly Increased (by 1 -50 AED),No change,Highly increased (by more than 50 AED),No change,No change,Highly decreased (by more than 50 AED),Slightly Increased (by 1 -500 AED),Highly increased (by more than 100 AED),No change,Slightly Increased (by 1 -50 AED),No change,No change
7/31/2021 8:36:19,Sales Manager,Male,"5,001-10,000 AED","5,001-10,000 AED","Transportation (Bus pass, fuel, etc)","Transportation (Bus pass, fuel, etc)",4,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send less money to Kerala,When requested by family in Kerala,Nothing ,Nothing ,0,0,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,No change,Slightly decreased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -500 AED),Slightly decreased (by 1 -100 AED),No change,No change,No change,No change
7/31/2021 8:40:15,Opreation Manager,Male,"Greater than 40,000 AED","35,001-40,000 AED","Food, Housing, Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare",Below 6,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,When requested by family in Kerala,20#,5#,20#,10#,No change,No change,No change,Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),No change,No change,No change,No change,No change,No change,Slightly decreased (by 1 -50 AED),No change
7/31/2021 8:44:28,Engineer,Male,"5,001-10,000 AED","2,500-5,000 AED","Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",2,Important (Family has some income but depends on my remittance to pull through),Both,The amount I send to Kerala does not change,Once a month,20,10,20,10,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 500 AED)
7/31/2021 8:53:03,Sales manager ,Male,"5,001-10,000 AED","5,001-10,000 AED","Housing, Utilities (any one or more of electricity, water )","Housing, Utilities (any one or more of electricity, water )",3,Important (Family has some income but depends on my remittance to pull through),Both,The amount I send to Kerala does not change,Once a month,70,40,65,40,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED),Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -500 AED)
7/31/2021 9:36:27,Procurement,Female,"5,001-10,000 AED","5,001-10,000 AED","Healthcare, Transportation (Bus pass, fuel, etc)","Healthcare, Transportation (Bus pass, fuel, etc)",20,Important (Family has some income but depends on my remittance to pull through),Both,The amount I send to Kerala does not change,Once a month,60%,50%,50%,40%,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),No change,Highly increased (by more than 50 AED),Slightly decreased (by 1 -500 AED),Highly decreased (by more than 100 AED),No change,Highly decreased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED)
7/31/2021 9:39:25,Engineer,Male,"20,001-25,000 AED","20,001-25,000 AED","Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",2,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,In bulk amounts infrequently,25,40,18,30,No change,No change,No change,No change,No change,No change,No change,Slightly Increased (by 1 -500 AED),No change,No change,No change,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 500 AED)
7/31/2021 18:44:33,Engineering Manager ,Male,"35,001-40,000 AED","35,001-40,000 AED",Healthcare,Healthcare,1,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,In bulk amounts infrequently,75,75,10,10,No change,No change,No change,No change,No change,No change,No change,No change,No change,Highly decreased (by more than 50 AED),No change,No change,No change
8/1/2021 8:26:41,QC officier,Male,"5,001-10,000 AED","2,500-5,000 AED","Food, Housing, Transportation (Bus pass, fuel, etc)","Food, Housing, Transportation (Bus pass, fuel, etc)",3,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,Once a month,Nothing,Nothing,35,35,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,No change,No change,No change,No change,No change
8/3/2021 18:36:20,Engineer ,Male,"5,001-10,000 AED","5,001-10,000 AED",Healthcare,Healthcare,1,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,Once a month,30,30,30,30,Slightly Increased (by 1 -50 AED),No change,No change,No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,No change,Slightly decreased (by 1 -50 AED),Highly increased (by more than 50 AED),No change,Highly decreased (by more than 500 AED)
8/3/2021 18:41:52,Sales,Male,"2,500-5,000 AED","2,500-5,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",4,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to Kerala,In bulk amounts infrequently,60,70,60,70,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -500 AED)
8/3/2021 18:48:15,Assistant Manager,Female,"5,001-10,000 AED","5,001-10,000 AED","Housing, Healthcare","Housing, Utilities (any one or more of electricity, water )",0,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,When requested by family in Kerala,2,2,2,2,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),No change,No change,Highly increased (by more than 50 AED),Highly increased (by more than 500 AED),Highly increased (by more than 100 AED),No change,Highly increased (by more than 50 AED),No change,Highly increased (by more than 500 AED)
8/3/2021 18:56:08,Sales,Male,"2,500-5,000 AED","0-2,500 AED","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc), Laundry","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc), Laundry",7,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,0,0,90,90,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/3/2021 19:05:44,Driver,Male,"2,500-5,000 AED","2,500-5,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)","Housing, Utilities (any one or more of electricity, water ), Healthcare",5,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,25,25,70,70,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -100 AED),No change,No change,No change,No change
8/3/2021 19:12:22,Driver,Male,"2,500-5,000 AED","2,500-5,000 AED","Food, Housing","Food, Housing",10,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,5,2,65,65,Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,Slightly decreased (by 1 -100 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change
8/3/2021 19:16:32,Housewife ,Female,"0-2,500 AED","0-2,500 AED","Housing, Healthcare","Housing, Healthcare",0,Very Unimportant (Family is capable to live without my remittances),Both,The amount I send to Kerala does not change,When requested by family in Kerala,10,15,2,2,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,Slightly decreased (by 1 -100 AED),Highly decreased (by more than 50 AED),No change,No change,No change
8/3/2021 19:20:28,Sales ,Male,"15,001-20,000 AED","15,001-20,000 AED",None,None,5,Very Important (Family is totally dependent on my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to Kerala,Once a month,30,30,30,30,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -500 AED)
8/3/2021 19:23:28,Biju Thundiyil,Male,"5,001-10,000 AED","5,001-10,000 AED",Healthcare,Healthcare,4,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,25,25,25,25,No change,No change,No change,Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change
8/3/2021 19:27:21,Ramp Supervisor ,Male,"5,001-10,000 AED","5,001-10,000 AED",Healthcare,Healthcare,5,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,In small amounts frequently,"50,000","50,000",75,75,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED),No change,Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -500 AED)
8/3/2021 19:29:46,Sales ,Male,"15,001-20,000 AED","15,001-20,000 AED",None,None,5,Very Important (Family is totally dependent on my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to Kerala,Once a month,30,30,30,30,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -500 AED)
8/3/2021 19:32:42,Ramp Team Leader ,Male,"5,001-10,000 AED","2,500-5,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare","Housing, Utilities (any one or more of electricity, water ), Healthcare, Laundry",4,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,"10,000",0,80 000,75 000,No change,No change,No change,No change,No change,No change,No change,No change,Slightly Increased (by 1 -100 AED),No change,No change,No change,No change
8/3/2021 19:37:49,Ramp Team Leader in Airport ,Male,"5,001-10,000 AED","2,500-5,000 AED",None,"Housing, Transportation (Bus pass, fuel, etc)",5,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,0,0,"13,000 INR","10,000 INR",No change,Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
